\Ԣ,image augmantation,mix_num,alpha,epoch,Train loss,Train accuracy,Test loss,Test accuracy,
resnet20(v2),-,-,-,200,0.089,1.000,1.051,0.842,
resnet20(v2),-,2,0.05,200,0.100,1.000,0.650,0.840,
resnet20(v2),use,-,-,200,0.227,0.967,0.421,0.912,
resnet20(v2),use,-,-,400,0.220,0.956,0.415,0.912,
resnet20(v2),use,2,0.05,200,0.226,0.962,0.387,0.910,
resnet20(v2),use,2,0.2,200,0.250,0.954,0.368,0.914,
resnet20(v2),use,2,0.2,400,0.244,0.956,0.367,0.912,
resnet20(v2),use,2,0.3,200,0.261,0.950,0.371,0.911,
resnet20(v2),use,2,0.5,200,0.293,0.942,0.386,0.907,
resnet20(v2),use,2,1,200,0.361,0.928,0.433,0.900,
resnet20(v2),use,3,0.1,200,0.242,0.957,0.372,0.914,
resnet20(v2),use,3,0.1,400,0.244,0.954,0.370,0.911,
resnet20(v2),use,3,0.2,200,0.276,0.944,0.378,0.908,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
image augmantation,,,,,,,,,
"# randomly rotate images in the range (deg 0 to 180)
rotation_range=20,
# randomly shift images horizontally
width_shift_range=0.1,
# randomly shift images vertically
height_shift_range=0.1,
# randomly flip images
horizontal_flip=True,",,,,,,,,,
